12, 0.37
20, 0.49
30, 0.77
40, 1.14
50,	1.55
60,	1.98
80,	3.13
100, 4.02
120, 5.01
140, 6.08
160, 7.11
180, 8.28
200, 9.25
210, 9.86
220, 10.41
230, 10.82
